Wavelength_nm,保护优先,展示优先,综合折中,D55
555,0.214581338143,0.181989072057,0.180783507033,0.935654433034
556,0.231624192446,0.196226136341,0.194915999917,0.933584621668
557,0.248414886128,0.210287934011,0.208876141206,0.931422496402
558,0.264518250987,0.223798859515,0.222290567499,0.928645003035
559,0.279508998833,0.236393054686,0.234795637234,0.925756698251
560,0.292983981899,0.247724626711,0.246047580447,0.922825232593
561,0.304574743582,0.2574781202,0.255732897793,0.919920427676
562,0.313959692937,0.265378689864,0.263578460313,0.917299251354
563,0.320875201972,0.271201389315,0.269360730292,0.914760141481
564,0.325124945952,0.274779007715,0.272913539389,0.91229424009
565,0.326586883459,0.27600794913,0.274133922691,0.909892341846
566,0.325217399382,0.274851754886,0.272985611893,0.907439119504
567,0.321052300583,0.271342008523,0.269499929097,0.905072132066
568,0.314204547048,0.265576524582,0.263773983111,0.902826811395
569,0.304858805139,0.257714892795,0.255966239331,0.900736591971
570,0.293263107314,0.247971614157,0.246289698045,0.899043678369
571,0.279718078578,0.236607211224,0.23500306088,0.897498744904
572,0.264564330238,0.22391781033,0.222400379699,0.896041783199
573,0.248168716179,0.21022376961,0.208799758011,0.894621121785
574,0.230910190081,0.195857959182,0.19453170721,0.892682964108
575,0.213165992619,0.181154287699,0.179927747998,0.890845804611
576,0.195298839256,0.166437016243,0.165309794485,0.889295486892
577,0.177645679281,0.152011312809,0.150980771438,0.888188762211
578,0.16050846576,0.138155388068,0.13721680333,0.88834177923
579,0.144147226475,0.125114426526,0.124261188219,0.889045726991
580,0.128775570776,0.113096398464,0.112320241573,0.890125790932
581,0.114558618776,0.10226971773,0.101560975672,0.891460043757
582,0.10161320819,0.0927626081786,0.0921104785576,0.892551484104
583,0.0900101283156,0.0846639639831,0.0840567793984,0.893761899092
584,0.0797780553661,0.0780254404893,0.077450938759,0.895169707771
585,0.0709088204052,0.0728644936967,0.0723100837014,0.896814249931
586,0.0633636295714,0.0691680960979,0.06862111705,0.899078676019
587,0.0570798724572,0.0668968901174,0.066344863275,0.901567156538
588,0.0519781929175,0.0659895914154,0.0654204639704,0.904126587628
589,0.0479695503849,0.0663675152392,0.0657698962578,0.906646418399
590,0.0449620615811,0.0679391615675,0.0673025494732,0.90846916199
591,0.0428674750305,0.0706048509825,0.0699198512196,0.910165636147
592,0.0416071873534,0.0742614458145,0.0735199761511,0.911947563621
593,0.0411177554117,0.0788072144062,0.078002694007,0.913947466531
594,0.0413558878887,0.0841468965331,0.0832744136447,0.916794607826
