solution_id,ω1,ω2,ω3,ω4,ω5,ω6,ω7,ω8,ω9,ω10,I_lx,D_relic,F,Rf,Rg,CCT_K,Duv
14,0.0824834860266,0.00953828789508,0.0133453352019,0.191738146167,0.122196423171,0.00502423088796,0.0480185283363,0.427228585587,0.0529579187307,0.0474690579959,31.9166510059,0.410130650854,6.28380936318,75.2285385973,121.370484079,2788.17757547,-0.00439228289375
15,0.0794863245943,0.00904097727182,0.0115129705465,0.184327861534,0.118933897207,0.00234278974086,0.0466402011959,0.412787276024,0.059380441394,0.0755472604914,296.125679093,1.07400551452,10.7810015699,74.9708658752,121.789915074,2771.58723575,-0.00462311989903
16,0.0800203889501,0.00245325256231,0.011725984327,0.184165831467,0.112422933963,0.00677312136346,0.0454848715049,0.420888375499,0.051082936646,0.0849823037173,14.9871756887,0.303626844186,6.02908321136,73.5521607523,122.895985813,2695.54267127,-0.0048610622039
17,0.0822061448357,0.0117127507004,0.0929375002826,0.168969804294,0.118348973256,0.00617255892627,0.00934884533614,0.405494592551,0.0335947606726,0.071214069145,5.35663107411,0.231302315345,5.87660603949,71.4181181409,114.550439875,3430.48834233,0.00275302850859
18,0.0809878903943,0.00321426426472,0.0401912210741,0.185677129167,0.12581375535,0.00831036432376,0.00900904544615,0.419412401104,0.0485703356083,0.0788135932673,49.8746012196,0.504396921391,6.59046992783,74.6159825327,118.357803385,3111.88127838,0.00140224083368
19,0.0762340024798,0.0022079087427,0.0808582365045,0.181144374785,0.0964550737599,0.0178403455321,0.0442776981733,0.38642067159,0.0531058395286,0.0614558489049,10.1553012695,0.298410261966,5.97233660881,70.5431102839,114.309787351,3121.44513813,0.00164601519325
20,0.0782120710828,0.00226372650625,0.092948612598,0.148716117092,0.0989578251149,0.0187476202013,0.0461725141847,0.396447255177,0.0544837941209,0.0630504639223,8.14472015347,0.266162430283,5.94982652683,70.1757730366,116.118141948,2885.02310448,-0.0042083644807
21,0.0859300047887,0.00703870861494,0.0118062690828,0.196621341403,0.119203639854,0.00489368993715,0.00918925061979,0.426742994391,0.0485584328893,0.09001566842,24.580540276,0.369885073157,6.19604452236,73.2233710148,122.324214972,3018.30452046,-0.00223535564263
22,0.0806816329842,0.00302165489077,0.0919685069272,0.165234013144,0.118274577903,0.0077661916413,0.00832347059191,0.40547837386,0.0452795923073,0.0739719857504,49.8746012196,0.533678272301,6.63507042978,71.3676273564,114.817291368,3327.92568277,0.00314286588765
23,0.095007060594,0.00275064878892,0.0305802918323,0.198015288348,0.120724546435,0.0211259612023,0.00669572594924,0.419384036385,0.0311080593565,0.0746083811087,129.852724113,0.767188075969,7.94685979607,75.0930448945,119.981749789,3164.5852934,-0.000770400139441
